comments,reaction_type
"চমৎকার, চমৎকার, চমৎকার।  অনুবাদটি অসাধারণ হয়েছে । আর এ মুভির নিগূঢ় রহস্য প্রকাশ করার জন্য আপনাকে ধন্যবাদ। যদিও কিছু জায়গায় ভুল হয়েছে, কিন্তু এটা কিছু না। বলতে গেলে ভালোই হয়েছে।",positive
"পি কে  এই চমৎকার মুভিটা দেখার পর আমার ২ টা হিন্দু বন্ধু ইসলাম ধর্মগ্রহণ করেছে, আলহামদুলিল্লাহ-|",positive
এই সিনেমাটি আমি অনেক বার দেখেছি কিন্তু এই সিনেমাটি যে এতো শিক্ষণীয় তা আমি আজই বুঝতে পারলাম।,positive
এটি আমার দেখা সেরা সিনেমা গুলোর মধ্যে একটি ছিল।,positive
আল্লাহ তুমি মহান এবং তোমাকে অনেক ধন্যবাদ যে তুমি আমায় মুসলিম করে পৃথিবী তে পাঠিয়েছো,positive
মুভিটা একাধিকবার না দেখলে এর ফিলিংসটা বোঝা যাবেনা সোনার থেকেও 100 গুন ইন্টারেস্টিং মুভি এটা,positive
সব থেকে সেরা এবং সেরা শিক্ষণীয় সিনেমা 🇮🇳,positive
যেমন নায়ক তেমনি পরিচালক,positive
"অসাধারণ মুভি,,, ভালোবাসা অবিরাম ভাইয়া ️️",positive
"আপনাকে ধন্যবাদ দেই,, এই কারণে যে,, অল্প সময়ে  সিনেমার সারমর্মটা আমাদের বুঝিয়েছেন,,আমাদের অনেকের সময়ের অভাব,হিন্দ,ইংরেজী ভাষা সহজে বুঝতে পারি না,, আপনি শিক্ষণীয় সিনেমা গুলো আমাদের প্র্যাকটিকেলি ফিল করাবেন।।",positive
৬৩ বছরের মধ্য যিনি একটা মিথ্য কথা ও বলেন নাই তিনি হলেন আমাদের প্রিয় নবী হযরত মোহাম্মদ (সা:),positive
মুভি এক্সপ্লেনেশন এ বেশ কিছু ভুল আছে তবে মুভিটাকে ভালোভাবে বুঝতে গেলে 2থেকে 3বার দেখা লাগবে আপনি এটি করেননি এটি একটি অসাধারণ মুভি ছিল তার পরেও আপনাকে ধন্যবাদ,positive
যে এই মুভিটা মনোযোগ সহকারে দেখবে সেই বুজবে এই মুভিতে কি মেসেজ দেওয়া হয়েছে,neutral
ইসলাম মানে শান্তি সব কিছুর সমাধান,positive
সব কিছুই ঠিক আছে কিন্তু একদম শেষ দৃশ্যের কথা গুলো তো বললেন না যেটা সবচেয়ে গুরুত্বপূর্ণ এবং দুঃখজনক ছিল যে   কে প্রচন্ড ভাবে ভালোবেসে ফেলে ছিল যা সে সর্বশেষ অবধি পর্যন্ত  কাছে প্রকাশ করে নি.,positive
ইসলামের প্রধান স্তম্ভ হলো আল্লাহর প্রতি বিশ্বাস।,negative
ভাই আগেত নিজে ভালো ভাবে বুঝেন তার পর  করেন আপনি অনেক কিছু মিস করে গেছেন  এই ছবিটি কোন ধর্মের নয় বরং বাস্তব বিষয় বস্তু তুলে ধরেছে আর আমি মনে করি শুধু হিন্দু ধর্মের লোকজন নয় সকল ধর্মেরও মানুষ এই ছবিটি দেখে সঠিক ধর্ম চিনে নেক  আল্লাহ আকবর,positive
আমরা মুসলিম বলে গর্ব করি,neutral
খুব ভালো লাগলো। কথাই সত্যি।তবে অনেক সংখেপে বলেছেন। ভালো করে ছবিটি কেউ যদি দেখে ও শোনো তবে অবশ্যই তার  আসবে।,positive
মাশআল্লাহ সেরা মুভি,positive
আপনার উপস্থাপনা অনেক ভালো হয়েছে।   .,positive
"প্লিজ ধর্ম নিয়ে বাড়াবাড়ি করো না,,নিজ নিজ ধর্ম পালন করো,,, যাদের উপর আল্লাহর রহমত বর্ষিত হবে একমাত্র তারাই সত্যের পথ খুঁজে পাবে,, তাছাড়া কখনো সম্ভব না।এইটাই বাস্তবতা,,, সবাইকে ধন্যবাদ",positive
সঠিক ধর্ম ইসলাম  মুভির মাধমে এটাই বোঝা গেল,positive
আমরা মুসলিম হয়ে গর্ব করি,positive
চমৎকার,positive
"অনেক ইনফরমেশন মিসিং আছে ভাইয়া, নতুন হিসেবে শুভকামনা",positive
"অভ্যাসকে জয় করাই পরম বিজয় । — হযরত আলী (রাঃ)  যা তুমি নিজে করো না বা করতে পারো না তা অন্যকে উপদেশ দিও না । — হযরত আলী (রাঃ)  উহাই শ্রেষ্ঠ দান যাহা হৃদয় হইতে উৎসারিত হয় এবং রসনা হতে ক্ষরিত হয়ে ব্যথিত এর ব্যাথা দূর করে । — আল হাদিস  সত্য লোকের নিকট অপ্রিয় হলেও তা প্রচার করো । — আল হাদিস  আল্লাহ তা’আলার ভয়ে তুমি যা কিছু ছেড়ে দিবে, আল্লাহ তোমাকে তার চেয়ে উত্তম কিছু অবশ্যই দান করবেন । — আল হাদিস",positive
সৃষ্টিকর্তা সর্বশক্তিমান,positive
অসাধারণ,positive
আমি খুবই গর্বিত আমি একজন সনাতন ধর্মের অনুসারী হতে পেরে,positive
আমি গর্বিত কারন আমি মুসলিম....! ️,positive
সেরা সিনেমা,positive
এক্সপ্লেনিংয়ে প্রচুর ভুলে ভরা,positive
মুক্তি একমাএ পথ ইসলাম ️,positive
"আমি এক আল্লাহ্ তে বিশ্বাষ করি, মহান আল্লাহ্ সৃষ্টিকর্তা এই বিশ্বের আর সমস্ত আরশের মালিক, সুবাহানল্লাহ্,  আলহামদুলিল্লাহ্, লা ইলাহ ইলল্লাহা, আল্লাহু আকবর",positive
অসাধারণ রিভিউ।,neutral
"কথা রেখেছি বাবা,সিনেমটি আপনাকে কাঁদতে বাধ্য করবে ://./PW3zmvLRlfs",positive
"ভুল তথ্য দেন কেন ,, পিকে এখানে ভুলবসত থেকে যায়নি । সে এসেছিল এই প্লানেটে রিসার্চ করতে ।",positive
মুভি টি অনেক ভালো লাগলো,positive
"সবাই কে ঈদের অগ্রিম ঈদ মোবারক,,,",positive
এই ধরনের মুভি দখলে ধর্মের সম্পর্কে জানতে পারা যায় এবং একটা চিন্তা করলে সঠিক ধর্ম খুজে পাওয়া যায়,positive
মুভিতে সঠিকটাই দেখানো হয়েছে।,positive
পিকে কিভাবে মানুষের মতো কথা বললো সেইটা বলা উচিত ছিলো।আমি পুরো মুভিটা দেখেছি,positive
অসাধারণ বিশ্লেষণ,positive
এই মুভিটি আমি অনেক বার দেখেছি,positive
মুভিটার মধ্যে সঠিক ধর্ম সম্বন্ধে ধারণা দিসে,positive
"ইয়ে মানে সব ই তো বুঝলাম । শুধু এটা বুঝলম না যে 3  মুভির ফারহান এর বাবা আর রাজুর মায়ের কিভাবে বিয়ে হলো। যেহেতু ফারহান এর কোনো বোন ছিল না ,কিন্তু রাজুর একটা বোন ছিল কাম্মু, তাহলে কি কাম্মু বড় হয়ে জাগ্গু হয়ে গেলো । এই  টা বোঝা বড়ো মুস্কিল।।।",positive
"রাইট,,,,, সৃষ্টি কর্তা কে বিশসাস করতে হবে",neutral
ধন্যবাদ ।,positive
প্রিয় ক্রিয়েটর আপনি কাহিনির অনেক কিছুই ঙ্কিপ করেছেন এটি উচিৎ নয়  গল্পটা পুরোপুরি বলা এবং উচিৎ ছিলো  তারপর ও ধন্যবাদ,positive
"ওয়াও,অসাধারণ মুভি",positive
একটা লকেট এর জন্য কতই না কষ্ট করল।,positive
অসাধারণ একটা মুভি,positive
গল্পটার মাঝে অনেক বড় ভুলের একটা সংশোধন পাওয়া যায় বিশেষ করে হিন্দুদের জন্য অন্যান্য জাতির জন্য আমাদের মুসলিম জাতির জন্য নয়,positive
এই রকম মুভি দরকার,positive
"লাইফে অনেক পিছিয়ে গেছি,,",positive
পিকে মুভিটা অসাধারণ,positive
(--  -  19 ),neutral
অবশ্যই ইসলামই আল্লাহর(স্রষ্টার)নিকট একমাত্র দ্বীন/ধর্ম,positive
খুব সুন্দর হয়েছে।,positive
খুব ভাল,positive
আল্লাহু আকবার,positive
খুব সুন্দর লাগছে ভাই,positive
ভালো,positive
আপনি লাগে রাহো মুন্না ভাইয়ের   দিন প্লিজ,positive
জগতের সের্ মুভি,positive
অনেক কিছু বাদ পড়ে গেছে ভালোভাবে এক্সপেলেন হয় নাই,positive
ইসলামের পথে আসোন,positive
এই সিনেমার লেখকে ধন‍্যবাদ।,positive
"তোমার ভিডিও সুন্দর হচ্ছে, শুভকামনা রইল।",positive
মুভি দেখে মুসলিম হইছে।এমন একজনের গল্পঃ জানি।,positive
ভাইরে ভাই হাসতে হাসতে শেষ,positive
নাইছ,positive
আজকে আমার মন ভালো নেই...!,positive
আচ্ছা  মানে কি,positive
মিথ্যা একদিন বিলুপ্ত হবেপ  সত্য যে দিন প্রকাশ পাবে। কাঠ পাথরের মূর্তি কে পুজো করা ঠিক না এক সৃষ্টিকর্তা মহান আল্লাহকে,positive
ধন্যবাদ ভাই এই মুভির জন্য অপেক্ষায় ছিলাম,positive
ভাই অনেক ভুল করেছেন ভিডিও তে,positive
খুব সুন্দার হইছে বাট কিছু জাগায় একটু একটু বুল হইছে এই মুবিটা ১০ বার উপারে দেখছি,positive
সরফরাজ নাম বদলে ইউসুফ করে দিলেন..,positive
"*সমপূর্ন  ইসলামি  কালচার  আছে যেখানে, শান্তি সেখানে ,।  ইসলামি  কালচার নেই  যেখানে, অশান্তি সেখানে* ।এইজন্য  ইসলামিক কানট্রি গুলোতে অপরাধ নেই বললেই চলে ।",positive
"কিন্তূ ওর নাম  ইউসুফ ছিলনা ওর নাম ছিলো সারফারাজ এছাড়া  আর ও অনেক কিছু ভুল আছে ,আগে ভালো করেন মুভি টা দেখেন ,দেখে বুঝেন তার পর মুভির  করেন",positive
ভাই      এক্সপ্লেশন করবেন,positive
মুভিটা ভালোভাবে না বুঝেই আপনি মুভি এক্সপ্লেইন করতে এসে পড়েছেন।,neutral
মানে কি,positive
হাস্যকর,positive
তো চোখের পলক এক বার ও ফেরেনি।,neutral
মুভি নিজের মনগড়া কেন বলছেন??,positive
সব কটি সিন এতে  করা হয়নি  অনেক  সিন বাদ দিয়ে গেছে,neutral
ভাই  ফুল মুভি বাংলা করা যাই না,neutral
ধন্যবাদ আপনাকে,positive
ভুলবশত এলিয়েন পৃথিবীতে থেকে যায় এতে তো আপনি কই পাইছেন ?,positive
"আপনার মুভি এক্সপ্লেইনটা ভালো হয়নি অনেকগুলো বিষয় মিস্টেক করেছেন, তাপসির ভবিষ্যৎবানি আগে    বলেননি, এইরকম বেশ কিছু বিষয় মিস্টেক করেছেন।",positive
ফিনিশিং এর একটা সিন দেখান নি,positive
অনেক  ভালো লাগল,positive
মানে কি,positive
ভাই  2 মুভিটা  করেন তাড়াতাড়ি,neutral
ভাই ছবিটি আমার খুব প্রিয় ছিলো এটার আমি বাংলা ডাবিং খুজতেছি পাই না কারও কাছে থাকলে লিংক টা দিয়েন,positive
খুব ভালো মুভি।,positive
আলহামদুলিল্লাহ,positive
ফুটেজ আটকান কেন,positive
আমি গর্বিত আমি হিন্দু  তার থেকেও বেশী গর্বিত আমি ভারতীয়। জয় হিন্দ ।,positive
এই মুভিতে এটাই বোঝানো হয়েছে ঈশ্বর এই এবং অদ্বিতীয় বিজ্ঞানের ভাষায় কসমীক এর্নাজি য়ে য়েই জাতীয় হক ভগবান এক য়ে য়েই নামেই ডাকি য়ে য়েই ধর্ম পালন করিএটাই বঝানো হযেছে আমার মনে হয়েছে মানুষও য়দি জিরো থটে য়েতে পারে ওই আমির খানযেই চরিত্রে অভিনয় টা করেছে এই রকম হতে পারা য়ায়,positive
আপনি ভালো কে বলতে পারে না. কিভাবে কথা শিখল এইটা বলে নাই...,positive
"ভাই, ফুল মুভি বাংলায় ডাবিং করে আপলোড করা যাবে?",positive
"মেয়ে টি হিন্দু ছিলেন, খ্রিস্টান ছিলেন না,",positive
আপনি অনেকগুলো পয়েন্ট এড়িয়ে গেছেন।   দ্বিতীয়ত এই মুভিতে অন্য সব ধর্মের উপর আঘাত এলেও ইসলামের ওপর এর কোনো প্রভাবই পরে নি। উল্টো ইসলামের জন্য ইতিবাচক একটা মুভি বলা যেতে পারে।,neutral
মুভি এক্সপ্লেইন কর প্লিজ প্লিজ,positive
ব্যাটারি শেষ হয়ে গেছে. ...  এই সিনটা দেখতে খুবই মজা লাগছিল,positive
পাকিস্তান জিন্দাবাদ,positive
খুব একটা সোজা না দাদা,positive
এলিয়েন বলতে কিছু নেই।  সব ভূয়া,positive
কোন ধর্মেই বলে নাই লোক দেখানো আমল বা ধর্মের নাম ব্যবসা  সামর্থ চেয়ে বেশি চাপিয়ে দেওয়া এগুলো কোন ধর্মে নাই এগুলো মানুষ তৈরী ব্যবসা  সত্য ধর্ম ইসলাম যেখানে বলা হয়েছে  আল্লাহ্ বিশ্বাস + সকল সৃস্টি ভালবাসা মায়া দয়া করা,positive
বিশ্বের সেরা ধর্ম হচ্ছে ইসলাম ধর্ম ।,positive
অনেক কাহিনী বলেন নি! সম্পূর্ণ কিভাবে হলো???,positive
সবথেকে সেরা সিনেমা,positive
সবটা মন গড়ানো। এখানে  মুসলিম ধরমকে সঠিক  বানানোর চেষ্টা করা হয়েছে। বাজে ছবি,positive
আচ্ছা ভাই এই ছবিটার লিংক টা দেন,positive
এমুভি র মধ্যে ইসলামকে সর্ব শ্রেষ্ঠ ধর্ম হিসেবে ফুটিয়ে তোলা হয়েছে।,positive
এক্সপ্লেনিংয়ে প্রচুর ভুলে ভরা,positive
ধন্যবাদ।,positive
৬৩ বছরের মধ্য যিনি একটা মিথ্য কথা ও বলেন নাই তিনি হলেন আমাদের প্রিয় নবী হযরত মোহাম্মদ (সা:),positive
শুশান্তের নাম ইউসুফ না। শুশান্তের নাম সারফারাজ।,positive
অনেক ভুল এক্সপ্লেন,positive
মুভির নাম কি?,positive
দাদা মুভির  ভয়েস ওভার কি ভাবে দিব দাদা।,positive
সৃষটিকর্তা কোন ধর্মেই মুর্তি পুজা করতে বলেনি,positive
"আপনার,,, ভিডিও র সাউন্ড খুব কারাপ,,,",positive
এলিয়েন প্রশাব করে হাস্যকর,positive
"ইউসুফ না ভাই, সরফরাজ",positive
ন,positive
ছবির নামকি,positive
ফালতু মুভি,positive
ইউসুফ না সরফরাজ সরফরাজ খ্রিস্টান ছিল না মুসলমান ছিল,positive
আল্লাহ,positive
অসারন চবি দেকে যা বুজিনি আনার কতায় অনেক কিচু বুজেচি,positive
ভাই মুবির নাম টা কি বলবেন,positive
"প্রত্যেক হিন্দু গুলোর,, এই সিনেমা টা দেখা উচিৎ",positive
যাগ্গু খৃষ্টান ছিল না হিন্দু ছিল,positive
ছবিরনামকি,positive
"একটা জিনিস আমরা বারবার ভুল করি স্রষ্টাকে সৃষ্টিকর্তা বলে চালিয়ে দেয় এটা অনেক বড় ভুল, তাই এখন থেকে আমরা সৃষ্টিকর্তা না বলে ষষ্ঠ বলার অভ্যস্ত হই",positive
ইসলামই একমাত্র ধর্ম যেখানে সত্য এবং মিথ্যার সুস্পষ্ট বর্ণনা রয়েছে অতএব ফিরে এসো আশ্রয় নাও ইসলামের সুশীতল ছায়াতলে,positive
মুলা না গাজর ওটা,positive
এ ধরণের মুভি কিভাবে বানালো উনি কি মুসলিম,neutral
ভালো হয়নি,positive
আপুনি  কুন ধৃম,positive
পাপ করলে পাপের দিকে পা বাড়াতে আর ভাবতে হয় না। পরকীয়ার মতো জঘন্য কাজ থেকে আল্লাহ্ সবাইকে রক্ষা করুন।,positive
পাপ করলে পাপের দিকে পা বাড়াতে আর ভাবতে হয় না। পরকীয়ার মতো জঘন্য কাজ থেকে আল্লাহ্ সবাইকে রক্ষা করুন।,neutral
"আমার অনেক বেশি কষ্ট লেগেছে,  বুড়ো বয়সেও যে ভালোবাসা শেষ হয় না সেটাই এর প্রমান",positive
বুড়ো হলেও যে ভালোবাসা শেষ হয়না️এটা দাদু প্রমান করেছেন ️,positive
কদমফুল টা,positive
"আপু তোমার মুভি গুলো অনেক ভালো লাগে,  তোমার ভিডিও ছাড়ার অপেক্ষা থাকি আমি,",positive
"পরকীয়ার শুরুটা অনেক আনন্দের, শেষটা ভয়াবহ",positive
লা ইলাহা ইল্লাল্লাহু মুহাম্মাদুর রাসুলুল্লাহ,positive
"কুট্টিচানের আর অর বউয়ের প্রতি ভালবাসা দেখে চোখে পানি চলে আসছে,,,, খুবই সুন্দর একটা মুভি,,,,,,",positive
দাদুর ওভিনয় টা কলিজায় লেগেচে,neutral
শেষ মুহুর্তে চোখে জল আসার মতো অবস্থা। সত্যি রোমানা আপু আপনার অন্য সবার সাথে তুলনা হয় না।আর আজকের কমেন্টটাই আমার প্রথম কমেন্ট।ধন্যবাদ আপু এমন একটা সিনেমা আমাদের মাঝে উপস্থাপন করার জন্য,positive
আপেক্ষায় ছিলাম আপনার মুভির জন্য আপু ( আপনার জন্য ভালোবাসা অবিরাম আপু,positive
"আসলেই এটি সাংঘাতিক একটি হৃদয়বিদারক ঘটনা ছিল,পরকীয়ার বলি হচ্ছে আমাদের বাংলাদেশেও প্রতিনিয়ত বহু মানুষ,মানুষ একটা পাপকে ঢাকতে গেলে আরও দশটা পাপ করে ফেলে,এই ছবিটি তারই একটি প্রমাণ,অনেক ধন্যবাদ বোন রোমানা তোমাকে ভালো থেকো।",positive
সত্যি খুব ভালো লেগেছে বুড়া বুড়ির ভালোবাসা দেখে ধন্যবাদ রুমানা এতো সুন্দর মুভি দেয়ার জন্য,positive
খুবই সুন্দর একটা গল্প। ধন্যবাদ,positive
এতো আত্মত্যাগ আপনি তার জন্য করুন যার কন্ঠ শুনে আপনার সারাদিনের কষ্টের কথা ও ভুলে যাওয়া যায়  খুব ভালো থাকবেন সবাই।।।।।।।।,positive
সত্যি অনেক কষ্ট লাগলো।এমন মৃত্যু মানা যায় না।,positive
কষ্টের ছিল শেষ পর্যন্ত । অসাধারণ অভিনয় ধন্যবাদ ।,positive
শিক্ষণীয় সিনেমা। ধন্যবাদ রুমানা।,positive
দাদুর  সিনটা দেখে চোখ দিয়ে পানি বের হয়ে গেল,neutral
কুট্টি চানের একশোন ছিনটা জোছ ছিলো,positive
"রোমানা আপুর ভিডিও জন্য অপেক্ষা করতে করতে শেষ হয়ে গেলাম, ধন্যবাদ আপু,,,, আপু অপেক্ষায় রইলাম  আরো ভিডিও জন্য, তোমার ভয়েস না শুনলে মন ভাল  হয়না",positive
অসাধারণ মুবি ধন্যবাদ ।,positive
রোমানা মানে সেই লেভেলের টুইষ্ট অসাধারণ একটা সিনেমা ধন্যবাদ রোমানা,positive
আপনার কথা শুনার জন্য আসছি শুধু। আপনাকে অনেক ভালো লাগে।️️️️,positive
কতদিন তোমার কন্ঠস্বর শুনিনি দিভাইআজ সাসপেন্স টা সত্যি অসাধারণ,positive
কুট্টিচানের তার ব‌উয়ের প্রতি ভালোবাসা দেখে চোখে পানি চলে আসছে,positive
মাশাল্লাহ আপনার কন্ঠ আরও বেশি মিষ্টি,positive
দিদি আপনার ভয়েস খুব সুন্দর আপনার এক্সপ্লেইন করার টেকনিক টাও খুব সুন্দর।। আর মুভিটা সত্যিই খুবি অসাধারণ।। আর সত্যিই খুবই ঝটকা দায়ক মুভি।। ধন্যবাদ এরকম মুভি এক্সপ্লেইন করার জন্য।।,positive
"বাস্তবতা তুলে দরার জন্য ধন্যবাদ,,,,,, আপু তুমি অনেক সুন্দর করে কথা বল,,,, শোনতে শোনতে অনেক চেনা মনে হয়,,,,,",positive
সত্যিই অসাধারণ ভীষন ভয়ংকর,positive
অসাধারণ একটা ভিডিও খুব ভালো লাগলো,positive
আপুর সব ভিডিও গুলো ভালো লাগে,positive
অসাধারণ কন্ঠ শুনে আমি  মুগ্ধ,positive
কান্নায় চোখ ভিজে গেল বুড়ো বয়সেও এতোটা ভালোবাসা দেখে।,positive
সত্যি  এই পরকীয়ার ঘটনাটা দেখে আমার পূরো সরীর শিহরিত। কতই না ভয়ংকর পরকীয়া। আল্লাহ আমাদের সকলকে হিফাযত করুন আমীন,positive
সত্যিই দারুণ লেগেছে,positive
তুমি প্রতিদিনই একটি করে ভিডিও আপলোড করো। তোমার ভয়েজ খুবই ভালো লাগে,positive
আপু আপনার কন্ঠ অনেক সুন্দর,positive
মুভিটি এত সুন্দর করে বানানো হয়েছে যে  যেন একেবারে বাস্তব। ভালোবাসা কতটা সুন্দর ও ভয়াবহ হতে পারে সেটা এই মুভির দারা বোঝানো হয়েছে। মুভিটা খুব সুন্দর হয়েছে।,positive
স্বামী স্ত্রীর ভালোবাসা তো এরকমই হওয়া উচিত,positive
এইতো অপেক্ষার প্রহর শেষ হলো।রুমানা আপু মুভি ছেড়েছে।,neutral
এমন জঘন্য পরকীয়া থেকে আল্লাহ আপনি আমাদের সবাইকে বাঁচান।,positive
"উফ রুমানা আপু এই রকম সত্যি ঘটনা নিয়ে মুভি, আর সাথে আপনার এক্সপ্লেইন জাস্ট অসাধারণ",positive
অনেক ভালো লেগেছে,positive
বুড়ো বয়সে যে ভালবাসা দরকার সেটা এই মুভি দেখে বুঝা যায়।সবাই যেন এরকম  হয় তাহলে পৃথিবীতে ভালবাসার  অভাব হবে না,positive
একজন ভালোবাসার টানে প্রেমিকার সাথে অন্যায় কাজ করছে একজন অসহায় ব্যাক্তিকে মারলো আরেকজন ভালোবাসার টানে নিজের স্ত্রীকে বাঁচানোর চেষ্টা করছে। ভালোবাসা মানুষকে দুই রকম বানায় ।,positive
সত্যি খুব সুন্দর ছিলো মুভিটা,positive
অসাধারণ একটি মুভি। ভালোবাসা অবিরাম,positive
"লাইক চাওয়ার ধরনটা ভাল লাগল,তাই লাইক ও সাবস্ক্রাইব দিয়ে দিলাম,এবং সত্যিই গল্পটা অসাধারণ",positive
অসাধারণ পাগল হয়ে গেলাম,positive
"কুট্টিচাঁন আর ওনার স্ত্রী কাহিনি টা কষ্টদায়ক খুব। পাপ ফলাফল সম্ভব নগদে হওয়াই ভালো। তাহলে মানুষ পাপ করতে একটু হলেও চিন্তা করতো মাকে দেখে রেখো কাহিনি টা বুঝলাম না,মা কি তাহলে বেঁচে ছিলো?",positive
সত্যি অনেক সুন্দর মুভি,positive
"শিক্ষা নিও মুভি, অনেক ভালো লাগলো",positive
দেখার আগেই লাইক করে দিলামজানি বরাবরের মতোই ভালো হবে,positive
খুব সুন্দর হয়েছে ভিডিওটা। আসলে তোমার মুভি এক্সপ্লেইন সত্যি খুব সুন্দর,positive
সত্যিই অসাধারণ একটা মুভি... আর তার সাথে তোমার এক্সপ্লেনেশন আরোও অসাধারণ... আপি..,positive
"শত ব্যস্ততার মধ্যে মনটা যখন খুব বেশি ক্লান্ত হয়ে যায়,, তখন যদি আপনার মুভি দেখি তাহলে,এক মুহুর্তের মধ্যেই মনটা ক্লান্তি ভুলে যায়,ও, মানসিক শান্তি পায়,,, ধন্যবাদ আপু",positive
এ কাম সারছে।এ লে। এটা ভালো ছিলো।,positive
"নতুন বছরে নতুন কাউকে নয়, নতুন বছরেও আমার সেই পুরনো রূমোনা আপুকেইটাকেই চাই।️",positive
সত্যি অসাধারণ মুভিটা,positive
আপু আপনার মিষ্টি কন্ঠে একটা মিষ্টি গান শুনতে চাই,positive
এই শীতের মাঝে আপনার মুভির অপেক্ষাই ছিলাম,positive
ভীষণ ভালো লাগলো সত্যি ঘটনা,positive
কাহিনী টা শুনে কলিজা কেঁপে উঠলো,positive
আপনার কন্ঠটা আসলেই সেই যে কেও প্রেমে পড়ে যাবে,positive
তোমার মুভির জন্য অপেক্ষায় থাকি,positive
তোমার ভিডিও এক্সপ্লেনেশন আমার খুব ভালো,neutral
দাদা দাদুর ভালোবাসা টা অসাধারণ ছিলো,positive
খুব ভালো লাগছে,positive
"আহ,এক্সপ্লেইন জাস্ট ওয়াও",positive
পরকিয়া প্রেম সব শেষ করে দেয়,positive
"অসাধারণ মুভি,,  আপু তুমি নিজেও অসাধারণ ভাবে তুলে ধরেছো",positive
আমি একটা লাইক দিছি আপনাকে আমি এগুলো শুনে আপনার কন্ঠ ভালো লাগে সেই,positive
আপু পরকীয়ার ভয়ংকর পরিণতি নিয়ে আরোও কিছু মুভি আছে সেগুলোও এক্সপ্লেইন কইরেন  তাতে কিছুটা হলেও সমাজের মানুষ সচেতন হবে,positive
স্বামী স্ত্রীর এই ভালোবাসা দেখে খুবই ভালো লাগলো,positive
সত্যি অসাধারন লাগলো,positive
অনেক ভালো লাগলো। আবার অনেক কষ্ট লাগলো,positive
ওমা এই সময়ে মুভি আই এম তো অবাক,positive
চমৎকার,positive
আমার কাছে বুড়ো বয়সে দাদুর ভালোবাসাটা অনেক ভালো লাগলো,positive
প্রতি দিন সন্ধ্যায়  লাইনে  এসে আপনার নোটিফিকেশনের অপেক্ষায়  থাকি,positive
খুব সুন্দর,positive
কত দেরি করে মুভি দিয়েছেন আপু তবুও খুশি হলাম মুভি তো দিয়েছেন এটা দেখে,positive
সুন্দর মুভি,positive
"খুব ভালো লাগলো মুভিটা, আর দিদির গলাটায় খুব সুন্দর।",positive
"কি মর্মান্তিক  কাহিনী ,,,",positive
পরকিয়ার পরিনতি যে কতটা ভয়ংকর.. তার বাস্তব চিত্র,positive
আপু আরও বেশি করে মুভি দেও,positive
"সত্যি কান্না ও চলে আসছিলো আর নিজের বউ কেই ভালোবাসবো আল্লাহ কে শাককি রেখে বলছি তারপর ও অন্যের বউ না,",positive
ভালোবাসা কতটা সুন্দর এই মুবি টা না দেখলে বুঝতামি না,neutral
আপনার কন্ঠ টা অনেক সুন্দর,positive
খুব ভালো  লাগলো,positive
"সত্যিই  টা আমার এত ভালো লেগেছে বুজাতে পারবোনা, আর বুড়ি কে মারার দৃশ্য টা দেখে কান্না টা আটকাতে পারিনি",positive
"অনেক সুন্দর হয়ছে, শেষেটা কান্না করে দিচি",positive
আপনার কণ্ঠ আমাকে অস্থির করে ফেলছে,positive
ভালোবাসা সত্যি সুন্দর,positive
গা শিউরে উঠা ঘটনা।আল্লাহ মাফ করুন এমন ঘটনা যেনো আর কারো পরিবারে না ঘটে আমিন।,positive
এক কথায় অসাধারণ,positive
সুন্দর উপস্থাপনা,positive
আমি পুরো মুভি না দেখেই কমেন্ট করছিলাম যে বুড়োর ভালবাসার প্রমানের কথা কিন্ত মুভি পুরোটা দেখে বুঝতেছি যে ভালবাসার সাথে সাথে পরকিয়ার যে হিংস্র রুপ তা এই মুভি দেখে বুঝা যাচ্ছে।সব মেয়েদের এই পরকিয়া থেকে আল্লাহ দূরে রাখুক আর নিজের সংসার নিয়ে সুখে থাকার তৌফিক দান করুক আল্লাহ। সবাই কে হেদায়েত দান করো আমিন️️,positive
"চোখের পানি টলটল করে পড়ছে,,",positive
ভালোবাসা যে ভয়ংকর সুন্দর তা এই মুভি থেকেই প্রমাণিত,neutral
যা হক বাস্তব এর সাথে একদম মিল আচে একদম,positive
"এটা দেখে খুব ভালো লাগলো বুড়ো  বয়সে পিয় মানুষের জন্য জীবন বাজি রেখে যুদ্ধ করে,এটা দেখে খুব কষ্ট লাগল",positive
অপেক্ষায় চিলাম মুভির জন্য,positive
দারুণ,positive
রোমানাই বেস্ট,positive
খুব সুন্দর,positive
"কি গো আফারা আজ কি আমি একাই দেখবো, কই তোমরা তাড়াতাড়ি চলে আসো",positive
অসম্ভব সুন্দর একটা মুভি,positive
দাদুর ভালোবাসা দেখে চোখকে পানি এসে গেলো,positive
"ছবির গল্প টা সুন্দর বাস্তবতা মিল আছে, তবে আপনার প্রসংসা না করলে  নয় ,কারন আপনার সুন্দর কন্ঠে বাঁকা বাঁকা কথা আমার অনেক ভালো লেগেছে ,সত্যি আপনি অনেক সুন্দর করে কথা বলতে পারেন, আমি চাই আপনি আরো এগিয়ে যান, আমার প্রক্ষো থেকে জানাই আন্তরিক শুভেচ্ছা,",neutral
আপনাকে কি বলে বড় করব আমার জানা নাই।আপনার আর মুমিন ভাইর মুভি এক্সপ্লেইন এত সুন্দর যা সবার মন কারে।,positive
